,Postal Code,District Name,City,Latitude,Longitude
91,1001,Quiapo,Manila,14.598485,120.986142
92,1002,Intramuros,Manila,14.590882,120.974668
93,1003,Santa Cruz,Manila,14.61816,120.984746
94,1004,Malate,Manila,14.572039,120.992129
95,1005,San Miguel,Manila,14.595627,120.992666
96,1006,Binondo,Manila,14.601826,120.974956
97,1007,Paco,Manila,14.585956,120.993923
98,1008,Sampaloc,Manila,14.611135,120.99629
99,1009,Santa Ana,Manila,14.582749,121.013396
100,1010,San Nicolas,Manila,14.598296,120.968915
101,1011,Pandacan,Manila,14.58991,121.00309
102,1012,Tondo,Manila,14.6208,120.965897
106,1016,Santa Mesa,Manila,14.597742,121.017614
107,1017,San Andres Bukid,Manila,14.572515,121.003684
108,1018,Port Area,Manila,14.594557,120.960684
109,1000,Ermita,Manila,14.586255,120.98743
